Prov,Kota,Kec,Kel,TPS,Suara Sah,Total Suara,Paslon 1,Paslon 2,Paslon 3,Link Dokumen
JAMBI, MERANGIN,BANGKO,LANGLING,TPS 002,239,245,56,139,41,https://sirekap-obj-formc.kpu.go.id/fd8c/pemilu/ppwp/15/02/02/20/12/1502022012002-20240215-055252--aebd8231-6671-4de3-aafa-faa6dc300e57.jpg
JAMBI, MERANGIN,BANGKO,PASAR ATAS,TPS 018,179,180,60,111,9,https://sirekap-obj-formc.kpu.go.id/0db3/pemilu/ppwp/15/02/02/10/09/1502021009018-20240215-013152--0cf03b30-fc61-40ca-b3db-72d539d747c0.jpg
JAMBI, MERANGIN,LEMBAH MASURAI,MUARO PANGI,TPS 001,232,238,29,200,882,https://sirekap-obj-formc.kpu.go.id/8f4d/pemilu/ppwp/15/02/09/20/09/1502092009001-20240217-164915--80050db5-ac4a-4b3e-8b5e-38b3da2ec5cd.jpg
JAMBI, MERANGIN,LEMBAH MASURAI,NILO DINGIN,TPS 001,226,228,46,123,7,https://sirekap-obj-formc.kpu.go.id/521f/pemilu/ppwp/15/02/09/20/01/1502092001001-20240215-163540--415b49e9-b469-46ee-aaf0-de6b9c3f7690.jpg
JAMBI, MERANGIN,NALO TANTAN,SUNGAI ULAK,TPS 007,244,251,26,210,9,https://sirekap-obj-formc.kpu.go.id/ba9d/pemilu/ppwp/15/02/11/20/01/1502112001007-20240214-220942--611ed7c3-3994-4f02-a71f-815bfafadd15.jpg
JAMBI, MERANGIN,NALO TANTAN,SUNGAI ULAK,TPS 022,180,181,78,88,54,https://sirekap-obj-formc.kpu.go.id/6546/pemilu/ppwp/15/02/11/20/01/1502112001022-20240215-130101--be5e2a3c-2459-43f2-9c71-67b561dd3dca.jpg
JAMBI, MERANGIN,PAMENANG,PAMENANG,TPS 004,193,193,80,108,7,https://sirekap-obj-formc.kpu.go.id/975e/pemilu/ppwp/15/02/06/10/08/1502061008004-20240214-215000--c42ca2c6-e500-43e8-8339-4b4287bbb370.jpg
JAMBI, MERANGIN,PAMENANG,PAUH MENANG,TPS 006,224,229,13,155,52,https://sirekap-obj-formc.kpu.go.id/386c/pemilu/ppwp/15/02/06/20/12/1502062012006-20240215-014544--dd3f3311-f140-48ea-bf83-1338a2011126.jpg
JAMBI, MERANGIN,PAMENANG BARAT,PINANG MERAH,TPS 013,227,229,11,139,72,https://sirekap-obj-formc.kpu.go.id/eb3d/pemilu/ppwp/15/02/13/20/04/1502132004013-20240215-095844--6bbd0ad4-cb4a-4691-8860-849880106c05.jpg
JAMBI, MERANGIN,PAMENANG BARAT,PULAUTUJUH,TPS 006,217,221,16,150,44,https://sirekap-obj-formc.kpu.go.id/91bc/pemilu/ppwp/15/02/13/20/08/1502132008006-20240217-145202--c1b89b90-99ac-4359-89a4-f6d1f4e7bda9.jpg
